timestamp,volume_transaction,avg_value_transactions,max_value_transactions,min_value_transactions
01.01.2023 00:00:00,5.1,3.5,1.4,0.2
01.01.2023 00:00:01,5.0,3.4,1.6,0.4
01.01.2023 00:00:02,5.9,3.0,4.2,1.5
01.01.2023 00:00:03,5.5,2.6,4.4,1.2
01.01.2023 00:00:05,5.1,3.5,1.4,0.3
01.01.2023 00:00:06,6.5,3.2,5.1,2.0
01.01.2023 00:00:07,6.4,2.7,5.3,1.9
01.01.2023 00:00:08,6.8,3.0,5.5,2.1
01.01.2023 00:00:09,5.7,2.5,5.0,2.0
01.01.2023 00:00:10,5.8,2.8,5.1,2.4
01.01.2023 00:00:11,6.4,3.2,5.3,2.3
01.01.2023 00:00:12,6.5,3.0,5.5,1.8
01.01.2023 00:00:13,7.7,3.8,6.7,2.2
01.01.2023 00:00:14,7.7,2.6,6.9,2.3
01.01.2023 00:00:15,6.0,2.2,5.0,1.5
01.01.2023 00:00:16,6.9,3.2,5.7,2.3
01.01.2023 00:00:17,5.6,2.8,4.9,2.0
01.01.2023 00:00:18,7.7,2.8,6.7,2.0
01.01.2023 00:00:19,6.3,2.7,4.9,1.8
01.01.2023 00:00:20,6.7,3.3,5.7,2.1
01.01.2023 00:00:21,7.2,3.2,6.0,1.8
01.01.2023 00:00:22,6.2,2.8,4.8,1.8
01.01.2023 00:00:23,6.1,3.0,4.9,1.8
01.01.2023 00:00:24,6.4,2.8,5.6,2.1
01.01.2023 00:00:25,7.2,3.0,5.8,1.6
01.01.2023 00:00:26,7.4,2.8,6.1,1.9
01.01.2023 00:00:27,7.9,3.8,6.4,2.0
01.01.2023 00:00:28,6.4,2.8,5.6,2.2
01.01.2023 00:00:29,6.3,2.8,5.1,1.5
01.01.2023 00:00:30,6.1,2.6,5.6,1.4
01.01.2023 00:01,7.7,3.0,6.1,2.3
01.01.2023 00:01,6.3,3.4,5.6,2.4
01.01.2023 00:01,6.4,3.1,5.5,1.8
01.01.2023 00:01,6.0,3.0,4.8,1.8
01.01.2023 00:01,6.9,3.1,5.4,2.1
01.01.2023 00:01,6.7,3.1,5.6,2.4
01.01.2023 00:04,6.9,3.1,5.1,2.3
01.01.2023 00:04,5.8,2.7,5.1,1.9
01.01.2023 00:04,6.8,3.2,5.9,2.3
01.01.2023 00:04,6.7,3.3,5.7,2.5
01.01.2023 00:04,6.7,3.0,5.2,2.3
